#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRMZM2G092447_P01	atg8e	4577.GRMZM2G092447_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.169	0.952	0.900	0.773	0.998
GRMZM2G092447_P01	IDP1471	4577.GRMZM2G092447_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.190	0.952	0.900	0.773	0.998
GRMZM2G092447_P01	GRMZM2G164160_P01	4577.GRMZM2G092447_P01	4577.GRMZM2G164160_P01	0	0	0	0	0.109	0.265	0	0.634	0.739
GRMZM2G092447_P01	Pco096794a	4577.GRMZM2G092447_P01	4577.GRMZM5G818887_P01	0	0	0	0	0	0	0	0.760	0.760
GRMZM2G092447_P01	nbr1b	4577.GRMZM2G092447_P01	4577.GRMZM2G139846_P01	0	0	0	0.795	0	0.941	0.790	0.901	0.989
GRMZM2G092447_P01	atg8b	4577.GRMZM2G092447_P01	4577.GRMZM2G419694_P05	0	0	0	0	0	0.952	0.900	0.773	0.998
GRMZM2G135038_P01	pco113424	4577.GRMZM2G135038_P01	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.568	0.568
GRMZM2G135038_P01	GRMZM2G373717_P01	4577.GRMZM2G135038_P01	4577.GRMZM2G373717_P01	0	0	0	0	0.053	0	0	0.446	0.452
GRMZM2G158248_P03	pco113424	4577.GRMZM2G158248_P03	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.568	0.568
GRMZM2G158248_P03	GRMZM2G373717_P01	4577.GRMZM2G158248_P03	4577.GRMZM2G373717_P01	0	0	0	0	0.053	0	0	0.446	0.452
GRMZM2G164160_P01	atg8e	4577.GRMZM2G164160_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.133	0.836	0.636	0.878	0.992
GRMZM2G164160_P01	IDP1471	4577.GRMZM2G164160_P01	4577.GRMZM2G076826_P01	0	0	0	0	0	0.836	0.636	0.565	0.971
GRMZM2G164160_P01	nbr1b	4577.GRMZM2G164160_P01	4577.GRMZM2G139846_P01	0	0	0	0	0.109	0.265	0	0.634	0.739
GRMZM2G164160_P01	Pco096794a	4577.GRMZM2G164160_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.108	0.171	0	0.535	0.626
GRMZM2G164160_P01	atg8b	4577.GRMZM2G164160_P01	4577.GRMZM2G419694_P05	0	0	0	0	0	0.836	0.636	0.565	0.971
GRMZM2G352431_P02	pco113424	4577.GRMZM2G352431_P02	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.569	0.569
GRMZM2G352431_P02	GRMZM2G373717_P01	4577.GRMZM2G352431_P02	4577.GRMZM2G373717_P01	0	0	0	0	0	0	0	0.507	0.507
GRMZM2G373717_P01	atg8e	4577.GRMZM2G373717_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.043	0.671	0	0.133	0.703
GRMZM2G373717_P01	TIDP2780	4577.GRMZM2G373717_P01	4577.GRMZM2G055135_P07	0	0	0	0	0	0	0	0.540	0.540
GRMZM2G373717_P01	pco113424	4577.GRMZM2G373717_P01	4577.GRMZM2G058872_P01	0	0	0	0	0	0	0	0.682	0.682
GRMZM2G373717_P01	IDP1471	4577.GRMZM2G373717_P01	4577.GRMZM2G076826_P01	0	0	0	0	0.043	0.671	0	0.133	0.703
GRMZM2G373717_P01	atg8b	4577.GRMZM2G373717_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.043	0.671	0	0.133	0.703
IDP1471	Pco096794a	4577.GRMZM2G076826_P01	4577.GRMZM5G818887_P01	0	0	0	0	0.215	0.818	0.921	0.513	0.993
IDP1471	nbr1b	4577.GRMZM2G076826_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
Pco096794a	atg8e	4577.GRMZM5G818887_P01	4577.GRMZM2G014975_P01	0	0	0	0	0.215	0.818	0.624	0.513	0.970
Pco096794a	nbr1b	4577.GRMZM5G818887_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0	0	0.760	0.760
Pco096794a	atg8b	4577.GRMZM5G818887_P01	4577.GRMZM2G419694_P05	0	0	0	0	0.215	0.818	0.624	0.513	0.970
atg8b	nbr1b	4577.GRMZM2G419694_P05	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
atg8e	nbr1b	4577.GRMZM2G014975_P01	4577.GRMZM2G139846_P01	0	0	0	0	0	0.952	0.900	0.773	0.998
